group,variable,value
Seafood Markets,Mongolian,0.013796033497630701
Seafood Markets,Hookah Bars,0.0
Seafood Markets,Soup,0.0
Seafood Markets,Chocolatiers & Shops,0.09999999977510078
Seafood Markets,Indonesian,0.09999999977510078
Seafood Markets,Personal Shopping,0.0
Seafood Markets,Tapas Bars,0.0
Seafood Markets,Cambodian,0.09999250792266247
Seafood Markets,Gelato,0.0
Seafood Markets,Drugstores,0.0
Seafood Markets,Hotels,0.0
Seafood Markets,Fondue,0.0
Seafood Markets,Japanese,0.0
Seafood Markets,Cheese Shops,0.0
Seafood Markets,Soul Food,0.0
Seafood Markets,Mediterranean,0.0
Seafood Markets,Pakistani,0.0
Seafood Markets,Casinos,0.0
Seafood Markets,Vegetarian,0.0
Seafood Markets,Breakfast & Brunch,0.0
Seafood Markets,Breweries,0.0
Seafood Markets,Hawaiian,0.0
Seafood Markets,Shopping Centers,0.0
Seafood Markets,Filipino,0.0
Seafood Markets,Salvadoran,0.0
Seafood Markets,Vegan,0.0
Seafood Markets,Active Life,0.0
Seafood Markets,Ukrainian,0.01948994713545791
Seafood Markets,Landmarks & Historical Buildings,0.0
Seafood Markets,Do-It-Yourself Food,0.0
Seafood Markets,Coffee & Tea,0.0
Seafood Markets,Chinese,0.0
Seafood Markets,Swimming Pools,0.09999999977510078
Seafood Markets,Cajun-Creole,0.0
Seafood Markets,Greek,0.0
Seafood Markets,Ramen,0.0
Seafood Markets,Bowling,0.0
Seafood Markets,Spanish,0.0
Seafood Markets,Cafes,0.0
Seafood Markets,Cuban,0.011961264923191803
Seafood Markets,Seafood,0.0
Seafood Markets,Belgian,0.0
Seafood Markets,Salad,0.0
Seafood Markets,Russian,0.0
Seafood Markets,Lebanese,0.0
Seafood Markets,German,0.0
Seafood Markets,Comfort Food,0.0
Seafood Markets,Cantonese,0.0
Seafood Markets,Bubble Tea,0.0
Seafood Markets,Singaporean,0.0
Seafood Markets,Cocktail Bars,0.0
Seafood Markets,Nightlife,0.0
Seafood Markets,Ice Cream & Frozen Yogurt,0.0
Seafood Markets,Bistros,0.0
Seafood Markets,Local Flavor,0.0
Seafood Markets,RV Parks,0.0
Seafood Markets,Canadian (New),0.01708808342999612
Seafood Markets,Diners,0.0
Seafood Markets,Delis,0.0
Seafood Markets,Party & Event Planning,0.0
Seafood Markets,Festivals,0.0
Seafood Markets,Food,0.0
Seafood Markets,Street Vendors,0.0
Seafood Markets,Ethiopian,0.0
Seafood Markets,Food Trucks,0.0
Seafood Markets,Cafeteria,0.09999999977510078
Seafood Markets,Dim Sum,0.0
Seafood Markets,Scottish,0.0
Seafood Markets,Middle Eastern,0.0
Seafood Markets,Pretzels,0.0
Seafood Markets,Taiwanese,0.0
British,Karaoke,0.0
British,Seafood Markets,0.0
British,British,1.0
British,American (New),0.19312635316273846
British,Peruvian,0.02117188775871232
British,Internet Cafes,0.0
British,Food Stands,0.0
British,Vietnamese,0.0
British,Dance Clubs,0.0
British,Argentine,0.018084420846201685
British,Asian Fusion,0.1775137477588271
British,African,0.0
British,Sports Bars,0.0
British,Burgers,0.0
British,Halal,0.0
British,Donuts,0.019792578717986717
British,Szechuan,0.0
British,Dive Bars,0.0
British,Turkish,0.02632969100318685
British,Venues & Event Spaces,0.1154844416828563
British,Gastropubs,0.20006504256729502
British,Indian,0.0
British,Moroccan,0.018935920560265
British,Polish,0.02482691754505438
British,Champagne Bars,0.3343337096139396
British,Southern,0.0
British,Lounges,0.0
British,Wineries,0.0
British,Tea Rooms,0.0
British,Bagels,0.0
British,Beer, Wine & Spirits,0.0
British,Persian-Iranian,0.0
British,Latin American,0.0
British,Tours,0.06134606574803664
British,Wine Bars,0.14585029129569987
British,Shopping,0.0
British,Portuguese,0.1551248087575311
British,Meat Shops,0.0
British,Mexican,0.0
British,Hotels & Travel,0.0
British,Performing Arts,0.0
British,Venezuelan,0.0
British,Steakhouses,0.10494455011476428
British,Afghan,0.0
British,Modern European,0.0
British,Convenience Stores,0.0
British,Golf,0.0
British,Grocery,0.0
British,Event Planning & Services,0.0
British,Country Dance Halls,0.1551249500770695
British,Fish & Chips,0.0
British,Distilleries,0.015316640102776011
British,Fast Food,0.0
British,Shaved Ice,0.021109202218103966
British,Ethnic Food,0.0
British,Bars,0.28972770531275716
British,Public Services & Government,0.0
British,Brasseries,0.0
British,Hot Dogs,0.0
British,Cinema,0.0
British,Caterers,0.0
British,French,0.0
British,Caribbean,0.0
British,Arts & Entertainment,0.0
British,Arabian,0.0
British,Thai,0.0
British,Butcher,0.0
British,Himalayan-Nepalese,0.022254257682187074
British,Brazilian,0.36145515531850025
British,Gluten-Free,0.3607247744730404
British,Jazz & Blues,0.0
British,Adult Entertainment,0.1551248087575311
British,Tex-Mex,0.0
British,Fruits & Veggies,0.0
British,Music Venues,0.04724663063550597
British,Korean,0.0
British,Amusement Parks,0.0
British,Automotive,0.0
British,Tapas-Small Plates,0.0
British,Scandinavian,0.029605704888556763
British,Outlet Stores,0.041088627641958766
British,Laotian,0.022171614109612436
British,Pizza,0.3614551955739333
British,Buffets,0.0
British,Malaysian,0.0
British,Food Delivery Services,0.0
British,Desserts,0.0
British,Car Wash,0.0
British,Creperies,0.8791471055709033
British,Basque,0.0
British,Health Markets,0.0
British,Pool Halls,0.0
British,Cultural Center,0.1551248032834258
British,Specialty Food,0.14609293564320577
British,Sushi Bars,0.0
British,Piano Bars,0.1551248087575311
British,Arcades,0.0
British,Italian,0.3614551853532232
British,Cheesesteaks,0.0
British,Chicken Wings,0.0
British,Bakeries,0.0
British,Hot Pot,0.01626079768892405
British,Pubs,0.27909525160661003
British,Shanghainese,0.01726530187107767
British,Sandwiches,0.19056037183212515
British,Irish,0.3614551532510227
British,Juice Bars & Smoothies,0.0
British,Food Court,0.0
British,Barbeque,0.0
British,American (Traditional),0.18839678555513284
British,Live-Raw Food,0.0
British,Kosher,0.0
British,Mongolian,0.021404042348383404
British,Hookah Bars,0.0
British,Soup,0.0
British,Chocolatiers & Shops,0.1551248087575311
British,Indonesian,0.1551248087575311
British,Personal Shopping,0.0
British,Tapas Bars,0.0
British,Cambodian,0.15512106003115056
British,Gelato,0.0
British,Drugstores,0.0
British,Hotels,0.0
British,Fondue,0.0
British,Japanese,0.0
British,Cheese Shops,0.0
British,Soul Food,0.0
British,Mediterranean,0.0
British,Pakistani,0.0
British,Casinos,0.0
British,Vegetarian,0.0
British,Breakfast & Brunch,0.0
British,Breweries,0.0
British,Hawaiian,0.0
British,Shopping Centers,0.0
British,Filipino,0.0
British,Salvadoran,0.0
British,Vegan,0.0
British,Active Life,0.0
British,Ukrainian,0.030234997167492412
British,Landmarks & Historical Buildings,0.0
British,Do-It-Yourself Food,0.0
British,Coffee & Tea,0.8743595190792897
British,Chinese,0.11039658260034896
British,Swimming Pools,0.1551248087575311
British,Cajun-Creole,0.8791471646070455
British,Greek,0.0
British,Ramen,0.0
British,Bowling,0.0
British,Spanish,0.0
British,Cafes,0.3461359971346221
British,Cuban,0.01860236770180638
British,Seafood,0.7793641899658342
British,Belgian,0.0
British,Salad,0.1359488519725103
British,Russian,0.0
British,Lebanese,0.0
British,German,0.0
British,Comfort Food,0.0
British,Cantonese,0.0
British,Bubble Tea,0.36852831024015387
British,Singaporean,0.0
British,Cocktail Bars,0.0
British,Nightlife,0.43531263808775633
British,Ice Cream & Frozen Yogurt,0.0
British,Bistros,0.0
British,Local Flavor,0.0
British,RV Parks,0.0
British,Canadian (New),0.026506791470111663
British,Diners,0.0
British,Delis,0.0
British,Party & Event Planning,0.36145517564666735
British,Festivals,0.0
British,Food,0.6259318283915085
British,Street Vendors,0.0
British,Ethiopian,0.0
British,Food Trucks,0.0
British,Cafeteria,0.1551248087575311
British,Dim Sum,0.0
British,Scottish,0.3106458222457909
British,Middle Eastern,0.0
British,Pretzels,0.0
British,Taiwanese,0.655311684352049
American (New),Karaoke,0.0
American (New),Seafood Markets,0.0
American (New),British,0.1931451749312905
American (New),American (New),1.0
American (New),Peruvian,0.0360197479720871
American (New),Internet Cafes,0.0
American (New),Food Stands,0.0
American (New),Vietnamese,0.0
American (New),Dance Clubs,0.0
American (New),Argentine,0.030762313439653008
American (New),Asian Fusion,0.6230033156758634
American (New),African,0.0
American (New),Sports Bars,0.0
American (New),Burgers,0.05180106389708499
American (New),Halal,0.0
American (New),Donuts,0.03368113396076596
American (New),Szechuan,0.0
American (New),Dive Bars,0.0
American (New),Turkish,0.044472747491254364
American (New),Venues & Event Spaces,0.17123778029340575
American (New),Gastropubs,0.1842404043351395
American (New),Indian,0.0
American (New),Moroccan,0.03212582956743556
American (New),Polish,0.3736206366934781
American (New),Champagne Bars,0.08348557381694424
American (New),Southern,0.12153046750003328
American (New),Lounges,0.4772994557910545
American (New),Wineries,0.0
American (New),Tea Rooms,0.0
American (New),Bagels,0.0
American (New),Beer, Wine & Spirits,0.06327026228411307
American (New),Persian-Iranian,0.0
American (New),Latin American,0.0
American (New),Tours,0.10436588445187776
American (New),Wine Bars,0.21325616630265504
American (New),Shopping,0.0
American (New),Portuguese,0.2639462718330221
American (New),Meat Shops,0.2810963934427693
American (New),Mexican,0.0
American (New),Hotels & Travel,0.0
American (New),Performing Arts,0.0
American (New),Venezuelan,0.0
American (New),Steakhouses,0.6554311942512858
American (New),Afghan,0.0
American (New),Modern European,0.04663335127340507
American (New),Convenience Stores,0.0
American (New),Golf,0.0
American (New),Grocery,0.0
American (New),Event Planning & Services,0.009730725328243182
American (New),Country Dance Halls,0.26394627523177483
American (New),Fish & Chips,0.017327103549839476
American (New),Distilleries,0.3175598040125748
American (New),Fast Food,0.0
American (New),Shaved Ice,0.03589442656473777
American (New),Ethnic Food,0.0
American (New),Bars,0.8296355001927566
American (New),Public Services & Government,0.0
American (New),Brasseries,0.04517911910512136
American (New),Hot Dogs,0.0
American (New),Cinema,0.0
American (New),Caterers,0.0
American (New),French,0.5195369594666499
American (New),Caribbean,0.0
American (New),Arts & Entertainment,0.16187598550957513
American (New),Arabian,0.0
American (New),Thai,0.0
American (New),Butcher,0.0
American (New),Himalayan-Nepalese,0.03829782290753458
American (New),Brazilian,0.5362206515581681
American (New),Gluten-Free,0.5362206408773129
American (New),Jazz & Blues,0.23909991892672494
American (New),Adult Entertainment,0.2639462718330221
American (New),Tex-Mex,0.0
American (New),Fruits & Veggies,0.34119171537558135
American (New),Music Venues,0.2950057644620003
American (New),Korean,0.0
American (New),Amusement Parks,0.0
American (New),Automotive,0.0
American (New),Tapas-Small Plates,0.5195369665276289
American (New),Scandinavian,0.37884747781423755
American (New),Outlet Stores,0.3900058500791098
American (New),Laotian,0.03787061208983406
American (New),Pizza,0.5362206407452598
American (New),Buffets,0.25337195571419024
American (New),Malaysian,0.15860195617999462
American (New),Food Delivery Services,0.0
American (New),Desserts,0.19068071154537897
American (New),Car Wash,0.0
American (New),Creperies,0.0
American (New),Basque,0.0
American (New),Health Markets,0.0
American (New),Pool Halls,0.0
American (New),Cultural Center,0.26394626645572883
American (New),Specialty Food,0.0
American (New),Sushi Bars,0.013147703493158448
American (New),Piano Bars,0.2639462718330221
American (New),Arcades,0.0
American (New),Italian,0.5362206630081091
American (New),Cheesesteaks,0.0
American (New),Chicken Wings,0.0
American (New),Bakeries,0.0
American (New),Hot Pot,0.027667943940450232
American (New),Pubs,0.5444650852025695
American (New),Shanghainese,0.029345438475890908
American (New),Sandwiches,0.28229028577390464
American (New),Irish,0.5362206713526558
American (New),Juice Bars & Smoothies,0.0
American (New),Food Court,0.0
American (New),Barbeque,0.09865451147750265
American (New),American (Traditional),0.23431021622816595
American (New),Live-Raw Food,0.0
American (New),Kosher,0.0
American (New),Mongolian,0.03641582733051346
American (New),Hookah Bars,0.0
American (New),Soup,0.0
American (New),Chocolatiers & Shops,0.2639462718330221
American (New),Indonesian,0.2639462718330221
American (New),Personal Shopping,0.09127401529577371
American (New),Tapas Bars,0.4287952715794012
American (New),Cambodian,0.26394243614969154
American (New),Gelato,0.0
American (New),Drugstores,0.0
American (New),Hotels,0.0
American (New),Fondue,0.1865697980022208
American (New),Japanese,0.519536972886491
American (New),Cheese Shops,0.19066323548414352
American (New),Soul Food,0.19066323938910498
American (New),Mediterranean,0.0
American (New),Pakistani,0.0
American (New),Casinos,0.0
American (New),Vegetarian,0.0
American (New),Breakfast & Brunch,0.49729634219798896
American (New),Breweries,0.2958511482790102
American (New),Hawaiian,0.0
American (New),Shopping Centers,0.0
American (New),Filipino,0.0
American (New),Salvadoran,0.0
American (New),Vegan,0.0
American (New),Active Life,0.0
American (New),Ukrainian,0.051443321936445324
American (New),Landmarks & Historical Buildings,0.0
American (New),Do-It-Yourself Food,0.0
American (New),Coffee & Tea,0.0
American (New),Chinese,0.21983859440109013
American (New),Swimming Pools,0.2639462718330221
American (New),Cajun-Creole,0.0
American (New),Greek,0.0
American (New),Ramen,0.5195369312833333
American (New),Bowling,0.0
American (New),Spanish,0.054640219162868854
American (New),Cafes,0.3069402996825204
American (New),Cuban,0.03153905482888876
American (New),Seafood,0.5121746781406676
American (New),Belgian,0.0
American (New),Salad,0.24778656044503994
American (New),Russian,0.0
American (New),Lebanese,0.0
American (New),German,0.3411917038527007
American (New),Comfort Food,0.0
American (New),Cantonese,0.0
American (New),Bubble Tea,0.0
American (New),Singaporean,0.0
American (New),Cocktail Bars,0.0643841723764817
American (New),Nightlife,0.8541513689635865
American (New),Ice Cream & Frozen Yogurt,0.0
American (New),Bistros,0.0
American (New),Local Flavor,0.0
American (New),RV Parks,0.0
American (New),Canadian (New),0.2297333798714621
American (New),Diners,0.0
American (New),Delis,0.0
American (New),Party & Event Planning,0.5362206502264686
American (New),Festivals,0.0
American (New),Food,0.10404565264503278
American (New),Street Vendors,0.0
American (New),Ethiopian,0.0
American (New),Food Trucks,0.0
American (New),Cafeteria,0.2639462718330221
American (New),Dim Sum,0.06106383266438938
American (New),Scottish,0.0
American (New),Middle Eastern,0.0
American (New),Pretzels,0.0
American (New),Taiwanese,0.16298371326678007
Peruvian,Karaoke,0.013646611207313466
Peruvian,Seafood Markets,0.013647397356631813
Peruvian,British,0.0211713549705859
Peruvian,American (New),0.0360153315458116
Peruvian,Peruvian,1.0
Peruvian,Internet Cafes,0.013647601720699945
Peruvian,Food Stands,0.013647601680545723
Peruvian,Vietnamese,0.013647600625377176
Peruvian,Dance Clubs,0.013647601058538166
Peruvian,Argentine,0.04069739279532155
Peruvian,Asian Fusion,0.1501512288910541
Peruvian,African,0.013647600418967648
Peruvian,Sports Bars,0.01364760169274179
Peruvian,Burgers,0.1269772246778413
Peruvian,Halal,0.020643949126554876
Peruvian,Donuts,0.043249554247167296
Peruvian,Szechuan,0.015263397665131736
Peruvian,Dive Bars,0.013647601312470576
Peruvian,Turkish,0.05328443627052568
Peruvian,Venues & Event Spaces,0.017293229233793665
Peruvian,Gastropubs,0.020427519754765845
Peruvian,Indian,0.013647601795906926
Peruvian,Moroccan,0.04190055244290246
Peruvian,Polish,0.050735306818834244
Peruvian,Champagne Bars,0.08026728071813632
Peruvian,Southern,0.019216702007930478
Peruvian,Lounges,0.01707199191490694
Peruvian,Wineries,0.01364760098943876
Peruvian,Tea Rooms,0.013647601950757484
Peruvian,Bagels,0.01364760051483669
Peruvian,Beer, Wine & Spirits,0.02007740238611091
Peruvian,Persian-Iranian,0.013647601597074904
Peruvian,Latin American,0.014027599930867836
Peruvian,Tours,0.1043392094252437
Peruvian,Wine Bars,0.017966442245759696
Peruvian,Shopping,0.0168779535482651
Peruvian,Portuguese,0.23418498662524806
Peruvian,Meat Shops,0.017326697914661467
Peruvian,Mexican,0.014616563730179478
Peruvian,Hotels & Travel,0.013647601561680786
Peruvian,Performing Arts,0.013647601290005447
Peruvian,Venezuelan,0.013647601519538373
Peruvian,Steakhouses,0.017035994134700506
Peruvian,Afghan,0.013647601907733654
Peruvian,Modern European,0.014784200881023644
Peruvian,Convenience Stores,0.013647601942004248
Peruvian,Golf,0.013647601579988688
Peruvian,Grocery,0.013647600960508047
Peruvian,Event Planning & Services,0.019273698076651673
Peruvian,Country Dance Halls,0.23418498662524806
Peruvian,Fish & Chips,0.014792904541146226
Peruvian,Distilleries,0.03656976985974489
Peruvian,Fast Food,0.031477386920968645
Peruvian,Shaved Ice,0.04614506025365099
Peruvian,Ethnic Food,0.01588317653957372
Peruvian,Bars,0.030453294675036876
Peruvian,Public Services & Government,0.01364760166205685
Peruvian,Brasseries,0.014785752026039573
Peruvian,Hot Dogs,0.013647602117518748
Peruvian,Cinema,0.013647601607287584
Peruvian,Caterers,0.013647601711201236
Peruvian,French,0.013647601350478704
Peruvian,Caribbean,0.013647600485189787
Peruvian,Arts & Entertainment,0.02378494245911894
Peruvian,Arabian,0.018893981809122554
Peruvian,Thai,0.01364760100394581
Peruvian,Butcher,0.017544400775529063
Peruvian,Himalayan-Nepalese,0.04688520089380532
Peruvian,Brazilian,0.013647601724958481
Peruvian,Gluten-Free,0.013647600958875773
Peruvian,Jazz & Blues,0.014684824353196454
Peruvian,Adult Entertainment,0.23418498662524806
Peruvian,Tex-Mex,0.016887541075522493
